Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
266347,Airplane,DETROIT METRO WAYNE COUNTY ARPT,> 1000 ft,MD-88,2 to 10,7,Precautionary Landing,2009-08-09,No damage,2,DELTA AIR LINES,Michigan,Climb,,False,False,FLT 1526 REPTD A BIRDSTRIKE ON DEPTR AND RETURNED TO LAND AT DTW. LANDED W/O INCIDENT. EMERGENCY RETURN. INSPECTED BOTH ENGS FOR BIRDSTRIKE. NONE FOUND IN #2 ENG. #1 ENG HAS BURNT FLESH ODOR. NO DMG.,Small,No Cloud,Unknown bird - small,N,0,11000.0,0,No
265132,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,EMB-145,2 to 10,3,Other,2009-08-11,Caused damage,2,TRANS STATES AIRLINES,DC,Approach,,True,True,"ID BY SMITHSONIAN, FAA 3501. DNA. HIT A FLOCK OF GEESE ON SHORT FINAL TO 19L AT 2035. FLT CREW REPTD SEEING 12-15 GEESE FLYING EAST TO WEST  WHEN THEY STRUCK THEM AT ABOUT 200 FT AGL THE A/C LANDED AND TAXIED CLEAR OF THE RWY AT TWY K5 BUT HAD TO BE TOWED",Large,Some Cloud,Canada goose,Y,0,200.0,0,No
262999,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,EMB-170,2 to 10,10,Aborted Take-off,2009-08-17,Caused damage,2,REPUBLIC AIRLINES,North Carolina,Take-off run,,True,True,"ID BY SMITHSONIAN, FAA 3544. WHOLE FEATHER & MICRO. ABORTED TAKE OFF AT A HIGH SPEED AFTER HITTING MULTIPLE GEESE. A/C STOPPED SAFELY AND TAXIED TO APRON. PILOT SAID ABOUT 30 to 40 GEESE HAD BEEN SITTING ON RWY ABOUT 6000 FEET DOWN AND ANOTHER 20 WERE FLY",Large,Some Cloud,Canada goose,N,0,0.0,0,No
265777,Airplane,PALM BEACH INTL,< 1000 ft,B-737-700,2 to 10,7,Precautionary Landing,2009-08-25,No damage,2,SOUTHWEST AIRLINES,Florida,Climb,,True,False,FLOCK FLEW ACROSS RWY AT ROTATION. SIMULTANEOUS MULTIPLE STRIKES AND COULD SMELL INGESTION IN ENG BUT NO SIGN OF FLT/OPERATION DEGRADATION. RETD TO PBI. GROUND OPS REPTD SEVEN BIRDS ON RWY AND WE HAD ONE STUCK UNDER CAPT'S WIPER. (DATA ENTRY NOTE: ENG MAN,Small,Overcast,Cattle egret,N,0,11.0,0,Yes
266931,Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,MD-88,2 to 10,2,Other,2009-08-27,No damage,2,DELTA AIR LINES,Florida,Landing Roll,,True,False,HIT 2 SWALLOWS ON LDG ROLL 2000' DWON RWY 6. BIRDS HIT CENTER WINDSCREEN. NO DMG. CARCASSES FOUND.,Small,Some Cloud,Barn swallow,Y,0,0.0,0,No
265841,Airplane,MIAMI INTL,> 1000 ft,ATR-72,2 to 10,7,Precautionary Landing,2009-09-27,Caused damage,2,AMERICAN EAGLE AIRLINES,Florida,Climb,,True,True,"ID BY SMITHSONIAN, FAA 3723. GREAT EGRET AND WOOD STORK WERE IDENTIFIED. WHOLE FEATHER AND DNA. PILOT REPTD STRIKING 3 LARGE WHITE BIRDS OFF AIRPT PROPERTY. RETD TO LAND W/O INCIDENT. (DATA ENTRY NOTE: DAILY REPORT SAID, "" NO DAMAGE REPORTED.""",Large,Some Cloud,Wood stork,N,21083,2000.0,0,No
266161,Airplane,MIAMI INTL,> 1000 ft,ATR-72,2 to 10,2,Precautionary Landing,2009-09-28,No damage,2,AMERICAN EAGLE AIRLINES,Florida,Climb,,False,False,RETURNED TO KMIA. 5 MI SW OF MIA.,Medium,No Cloud,Unknown bird - medium,Y,0,2000.0,0,No
269266,Airplane,LOUISVILLE INTL ARPT,< 1000 ft,A-300,2 to 10,2,Precautionary Landing,2009-10-08,No damage,2,UPS AIRLINES,Kentucky,Climb,,False,False,EVENT 23904. NOTAM WARNING. TWO IMPACTS ON EITHER SIDE OF NOSE CONE. NO DMG.,Small,Some Cloud,European starling,Y,0,30.0,0,No
268584,Airplane,GREATER ROCHESTER INTL,< 1000 ft,MD-88,2 to 10,5,Engine Shut Down,2009-10-11,Caused damage,2,DELTA AIR LINES,New York,Climb,,True,False,A/C HIT A FLOCK OF BIRDS ON T/O FROM ROC. LEFT ENG STALLED AN IN FLIGHT SHUT DOWN. UNKN AT THIS POINT WHETHER PILOT COMMANDED SHUTDOWN. AIR TURN BACK TO ROC. COMPRESSOR WHEEL DAMAGE ON VISUAL INSPN. DURING INSPN. ALSO 6-8 STATOR VANES IN COLD STREAM JUST,Small,Some Cloud,Unknown bird - small,N,0,200.0,0,No
268452,Airplane,INDIANAPOLIS INTL,< 1000 ft,EMB-170,2 to 10,8,Aborted Take-off,2009-10-12,Caused damage,2,REPUBLIC AIRLINES,Indiana,Take-off run,,True,False,"ATCT REPTD USA EMB 170 DURING T/O OBSERVED LARGE FLOCK OF BIRDS ON RWY AT TURNOFF B7. PILOT ABORTED T/O AND WAS UNSURE IF BIRDS WERE STRUCK. CK RWY, FOUND 5 DEAD COWBIRDS ON RWY TURNOFF B7. A/C HAD HOT BRAKES. PER USA, BOTH MAIN TIRES WERE REPLACED DUE TO",Small,Some Cloud,Brown-headed cowbird,Y,0,0.0,0,No
269099,Airplane,MONMOUTH EXECUTIVE ARPT,< 1000 ft,PIAGGIO P180,2 to 10,7,Aborted Take-off,2009-10-18,Caused damage,2,BUSINESS,New Jersey,Take-off run,,False,False,"BOTH PROPS DMGD A BIRD STRUCK NOSE CONE WHICH CAUSED DMG TO THE RADAR AND AVIONICS BAY, ENG NACELLES WILL NEED REPAIR. MINOR DMG TO L WING.",Large,Overcast,Canada goose,N,110684,0.0,0,No
266827,Airplane,TAMPA INTL,< 1000 ft,A-320,2 to 10,7,Precautionary Landing,2009-10-21,Caused damage,2,JETBLUE AIRWAYS,Florida,Climb,,True,True,"ID BY SMITHSONIAN, FAA 3795.  DNA. DMG TO FAN BLADE. MULTIPLE BIRDSTRIKES ON T/O. LANDED W/O INCIDENT.",Small,Some Cloud,Black-bellied plover,Y,132433,10.0,0,No
262749,Airplane,KANSAS CITY INTL,< 1000 ft,EMB-170,2 to 10,4,Other,2009-10-22,No damage,2,REPUBLIC AIRLINES,Missouri,Approach,Rain,True,True,"ID BY SMITHSONIAN, FAA 3850. HIT 3 GULLS. A/C BEING INSPECTED FOR DMG. ASSESSMENT INCOMPLETE.",Small,Overcast,Franklin's gull,Y,0,63.0,0,No
267908,Airplane,TETERBORO AIRPORT,< 1000 ft,GULFAERO IV,2 to 10,6,Precautionary Landing,2009-10-24,No damage,2,BUSINESS,New Jersey,Take-off run,Rain,True,False,"A/C RETD TO LAND ON RWY 19 DUE TO A BIRDSTRIKE AFTER DEPTR. (DATA ENTRY NOTE: BOX CHECKED FOR INGESTION, BUT NO ENG WAS MARKED AS BEING STRUCK)",Small,Overcast,Rock pigeon,Y,0,0.0,0,No
267598,Airplane,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,B-757-300,2 to 10,9,Precautionary Landing,2009-10-24,Caused damage,2,NORTHWEST AIRLINES,Minnesota,Climb,,True,True,"ID BY SMITHSONIAN, FAA 3867 & 3825. DNA & WHOLE FEATHER. A/C TOOK OFF AND REPTD HE SAW BIRDS AND THOUGHT HIS JETBLAST MAY HAVE HIT THEM. OPS FOUND REMAINS OF 4 PIGEONS ON 30L AT TWY A7. A FEW MINUTES LATER, ATCT ADVISED THAT PILOT NOW BELIEVE HE STRUCK BI",Small,Some Cloud,Rock pigeon,Y,0,100.0,0,Yes
266808,Airplane,DENVER INTL AIRPORT,> 1000 ft,CL-RJ700,2 to 10,8,Other,2009-10-25,Caused damage,2,SKYWEST AIRLINES,Colorado,Approach,Rain,False,False,"BIRDS REPTD AS ""GULLS? SNOW GEESE? THEY WERE WHITE, IN FORMATION AND LOOKED ABOUT THE SIZE OF GULLS."" ATIS WARNING. DARK RAINY NIGHT. F/O SAW THE FLOCK A SPLIT SECOND BEFORE WE HIT THEM. NO ENG DAMAGE AS FAR AS WE KNOW. ENG INDICTIONS REMAINED NORMAL. RT",Medium,Overcast,Unknown bird - medium,Y,848578,5500.0,0,No
268969,Airplane,GREATER PITTSBURGH,< 1000 ft,EMB-170,2 to 10,2,Precautionary Landing,2009-10-27,No damage,2,REPUBLIC AIRLINES,Pennsylvania,Take-off run,Rain,False,False,NO VISIBLE DMG.,Medium,Overcast,Unknown bird - medium,Y,0,0.0,0,No
267195,Airplane,LOGAN INTL,< 1000 ft,A-320,2 to 10,5,Precautionary Landing,2009-10-27,No damage,2,JETBLUE AIRWAYS,Massachusetts,Take-off run,,True,True,"ID BY SMITHSONIAN, FAA 3826. SMITHSONIAN COULD NOT PROVIDE SPECIES, JUST PASSERINE. ARPT BIOL IDENTIFIED BIRDS AS SNOW BUNTINGS. PILOT REPTD SEEING 6-8 BIRDS DURING T/O RUN. OPS FOUND CARCASSES ON RWY. A/C RETD TO BOS ON AN ALERT ONE. NO DMG REPTD. HIT FU",Small,Some Cloud,Snow bunting,Y,0,0.0,0,No
268032,Airplane,GREATER PITTSBURGH,< 1000 ft,EMB-170,2 to 10,2,Precautionary Landing,2009-10-28,Caused damage,2,REPUBLIC AIRLINES,Pennsylvania,Climb,Rain,True,False,A/C DEPARTED RWY 10C. ON CLIMBOUT PILOT REPTD STRIKING A FLOCK OF BIRDS AND REQUESTED TO RETURN. A/C TAXIED TO GATE. INSPN OF RWY 10C FOUND 5 CARASSES NEAR TWY T. MX REPORTS THEY ARE REPLACING 3 FAN BLADES. NO REMAINS WERE FOUND IN THE ENG.,Small,Overcast,European starling,Y,0,50.0,0,No
269045,Airplane,PHOENIX SKY HARBOR,> 1000 ft,DC-9-30,2 to 10,3,Precautionary Landing,2009-11-02,Caused damage,2,DELTA AIR LINES,Arizona,Climb,,True,True,"ID BY SMITHSONIAN, FAA 3834. FOUR SETS OF REMAINS WERE SAMPLES. DNA AND WHOLE FEATHER, MICRO. NTSB INVESTIGATED. A/C WAS SUBSTANTIALLY DAMAGED FOLLOWING BIRDSTRIKE DURING CLIMB TO CRUISE AT 12,000 FT MSL AT ABOUT 25 MILES NE OF PHX. CAPT REPTD HE HEARD A",Medium,No Cloud,Western grebe,N,0,9300.0,0,No
269523,Airplane,BARNSTABLE MUNICIPAL,< 1000 ft,LEARJET-55,2 to 10,7,Precautionary Landing,2009-11-04,No damage,2,UNIVERSAL JET AVIATION,Massachusetts,Climb,,True,True,"ID BY SMITHSONIAN, FAA 3864. MICRO & DNA. PILOT SAYS ATIS DID NOT INDICATE BIRD ACTIVITY IN VICINITY OF AIRFIELD. TIME OUT OF SERVICE 2.5 HRS. RETD TO AIRPORT FOR INSPN. NO DMG.",Medium,No Cloud,Long-tailed duck,N,1160,800.0,0,No
265845,Airplane,KANSAS CITY INTL,> 1000 ft,A-319,2 to 10,5,Engine Shut Down,2009-11-14,Caused damage,2,FRONTIER AIRLINES,Missouri,Climb,,True,True,"ID BY SMITHSONIAN, FAA 3896. DNA & WHOLE FEATHER. ALERT 2. PILOT BELIEVES THEY STRUCK 6-7 CANADA GEESE AT 4000 FT APPROX 4 MILES N OF ARPT.  PILOT REPORTS BOTH ENGS STALLED. RT ENG WAS SHUT DOWN. WHEN CREW TRIED TO ADVANCE THE THROTTLE, THERE WERE A SERIE",Large,Some Cloud,Snow goose,Y,2846160,4260.0,0,No
268778,Airplane,GEORGE BUSH INTERCONTINENTAL,< 1000 ft,EMB-145,2 to 10,7,Aborted Take-off,2009-11-17,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Texas,Take-off run,,False,False,"PIREP OF A BIRDSTRIKE ON 15L NEAR THE APCH END. COEX FLT 2453 STRUCK 4-5 BIRDS ON T/O ROLL 15L. ABORTED T/O. RETD TO GATE. NO DMG.  ATIS WARNING. INSPECTED RWY, NO EVIDENCE FOUND.",Small,No Cloud,Unknown bird - small,Y,0,0.0,0,No
268238,Airplane,SAN ANTONIO INTL,< 1000 ft,B-737-300,2 to 10,2,Other,2009-11-20,No damage,2,SOUTHWEST AIRLINES,Texas,Landing Roll,Rain,True,True,"ID BY SMITHSONIAN. FAA 3919. WHOLE FEATHER. ON T/D STRUCK A SMALL FLOCK OF BIRDS NEAR THE AIMING PT MARKER FOR RWY, 1000. NO VISIBLE DMG TO A/C HOWEVER A/C GROUNDED BY SWA IN ORDER TO CONDUCT A PROPER INSPN. UNKNOWN AMT OF TIME OUT OF SERV.",Small,Overcast,Eastern meadowlark,N,0,0.0,0,Yes
267017,Airplane,ELK GROVE ARPT,< 1000 ft,BE-23 SUNDOWNER,2 to 10,5,Precautionary Landing,2009-11-29,Caused damage,1,BUSINESS,California,Approach,,False,False,A/C WAS WRITTEN OFF BY INSURANCE COMPANY AND SOLD AT AUCTION. INCIDENT WAS AT NIGHT AND BIRD TYPE WAS NOT SEEN BUT IS ASSUMED TO BE GEESE OR DUCK BIRD TYPE IS SEEN IN AREA. RWY HAS A POND AND RIVER AREA AT APCH END. BLOOD/TISSUE ON UNDERSIDE OF RT WING. A,Large,No Cloud,Unknown bird - large,N,26458,500.0,0,No
269070,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,CL-RJ700,2 to 10,9,Precautionary Landing,2009-12-10,No damage,2,PSA AIRLINES,North Carolina,Take-off run,,True,True,ID BY SMITHSONIAN. FAA 3952. DNA.,Small,Some Cloud,European starling,Y,0,0.0,0,No
269697,Airplane,HUNTINGBURG ARPT,< 1000 ft,C-560,2 to 10,6,Precautionary Landing,2009-12-10,Caused damage,2,BUSINESS,Indiana,Approach,,False,False,CRACKED INBOARD FLAP IN TWO PLACES.,Medium,No Cloud,Mallard,N,52707,800.0,0,No
268619,Airplane,DUTCHESS COUNTY ARPT,< 1000 ft,C-172,2 to 10,3,Precautionary Landing,2009-12-14,Caused damage,1,PRIVATELY OWNED,New York,Climb,,False,False,"PILOT REPTD DOING TOUCH & GOS. PERFORMED 3 TOUCH & GOS PRIOR TO STRIKE. PILOT REPTD STRIKE OCCURRED APPROX 2500 FT DOWN RWY 24, APPROX 50 FT UP WHILE CLIMBING. A/C REPTD STRUCK IN L SIDE WING NEAR TIP AND L WING NEAR STRUT. DENT IN LE REPTD. NO INJURIES.",Small,Overcast,Horned lark,N,0,50.0,0,No
268122,Airplane,SACRAMENTO INTL,> 1000 ft,A-319,2 to 10,2,Other,2009-12-17,Caused damage,2,US AIRWAYS,California,Approach,,True,True,"ID BY SMITHSONIAN, FAA 3971. ALL 3 SAMPLES DNA. ENCOUNTERED 4 LRG BIRDS AT 2000 FT AGL ON APCH. DENTS UNDER RADOME AND ON LE OF #2 ENG COLW. EVIDENCE ALSO ON CAPT'S L WINDOW PANE AND TO RT OF NOSE BELOW F/O WINDSHLD. A/C GROUNDED FOR MX. DEPARTED ON 12/18",Medium,No Cloud,Northern pintail,Y,0,2000.0,0,No
269808,Airplane,SACRAMENTO INTL,> 1000 ft,A-319,2 to 10,2,Other,2009-12-19,Caused damage,2,US AIRWAYS,California,Approach,,True,True,"ID BY SMITHSONIAN, FAA 3968. DNA & WHOLE FEATHER. TWO SPECIES WERE IDENTIFIED, ENG SAMPLE WAS NORTHERN PINTAIL. FUSELAGE SAMPLE WAS AMERICAN WIGEON. STRIKE ON FINAL APCH.  UNSPECIFIED DMG TO #1 ENG. FUEL DOOR ALSO HIT. A/C TO BE MX FERRIED TO PHS.",Medium,Overcast,Northern pintail,Y,0,1500.0,0,No
300392,Airplane,PORTLAND-HILLSBORO ARPT,< 1000 ft,LEARJET-36,2 to 10,4,Precautionary Landing,2010-01-03,Caused damage,2,BUSINESS,Oregon,Climb,Rain,True,True,"ID BY SMITHSONIAN, FAA 4002, DNA. A/C DEPARTED WITH A PATIENT AND MEDICAL TEAM ON BOARD. PILOTS HEARD LOUD BANG ON FUSELAGE DURING GEAR RETRACTION AND RETD TO LAND W/O INCIDENT. DMG TO PORT WING LEADING EDGE, PORT ENG INLET AND PORT PITOT TUBE. A/C WAS TA",Medium,Overcast,Northern pintail,Y,0,600.0,0,No
300029,Airplane,SACRAMENTO INTL,> 1000 ft,B-737-700,2 to 10,3,Precautionary Landing,2010-01-05,No damage,2,SOUTHWEST AIRLINES,California,Climb,Fog,True,True,"ID BY SMITHSONIAN, FAA 4015, DNA. BOTH AN AMERICAN WIGEON AND A NORTHERN PINTAIL WERE STRUCK. ON INITIAL CLIMB DURING FLAP RETRACTION,. A/C EXITED THE OVERCAST AT APPROX 1400 AGL AND IMMED HIT 2 LRG BIRDS, ONE ON EACH OF THE CAPT'S AND F/O'S FWD WINDSCREE",Medium,Overcast,Northern pintail,Y,0,1500.0,0,Yes
301101,Airplane,LUIS MUNOZ MARIN INTL -SAN JUAN,< 1000 ft,B-757-200,2 to 10,8,Aborted Take-off,2010-01-09,Caused damage,2,AMERICAN AIRLINES,Puerto Rico,Take-off run,,True,False,"SPECIES REPTD AS WHITE TAIL EAGLE. (NO EAGLES IN PR, ASSUME HAWK). PILOT STATED THAT #1 ENG RECVD SIGNIFICANT DMG. NO PERSONS INJURED DURING INCIDENT.",Large,Some Cloud,Hawks,Y,0,0.0,0,Yes
301126,Airplane,ADAMS FIELD ARPT,> 1000 ft,DC-9-30,2 to 10,5,Precautionary Landing,2010-01-14,Caused damage,2,USA JET AIRLINES,Arkansas,Climb,,True,True,ID BY SMITHSONIAN. FAA 4028. DNA. BIRDSTRIKE DID NOT OCCUR ON ARPT PROPERTY. PHOTOS. DMG SUBSTANTIAL. LARGE HOLE IN RADOME. WING AND ENG COWLING DENTED.,Medium,Overcast,Ring-billed gull,Y,0,3500.0,0,No
300719,Airplane,HOBBY FIELD ARPT,< 1000 ft,PA-28,2 to 10,10,Aborted Take-off,2010-01-14,No damage,1,UNKNOWN,Oregon,Take-off run,,True,False,I AM A CFI. I WAS IN THE FBO AND WATCHED A GAGGLE OF GEESE ON BOTH SIDES OF THE RWY WHICH STARTED TO TAKE OFF THRU AN A/C'S TAKE OFF PATH. THE A/C HIT GEESE ON THE RWY AND A HUGE PLUME OF FEATHERS EXPLODED INTO THE AIR. A/C REDUCED POWER TO IDLE AND EXITE,Large,Some Cloud,Canada goose,N,0,0.0,0,No
300287,Airplane,MIAMI INTL,< 1000 ft,B-737-800,2 to 10,2,Other,2010-02-08,No damage,2,AMERICAN AIRLINES,Florida,Landing Roll,,True,True,"ID BY SMITHSONIAN, FAA 4077. DNA & WHOLE FEATHER. MX TOOK A/C OUT OF SERVICE AND USED A REPLACEMENT FOR REMAINDER OF SEQUENCE. WHITE FEATHERS FOUND ON FAN BLADES, OUTSIDE OF ENG CORE. NO DMG. CAPT SAW 2 CATTLE EGRETS FLYING ACROSS THE RWY. HE IMMEDIATELY",Small,Some Cloud,Cattle egret,Y,0,0.0,0,Yes
300555,Airplane,NEW CASTLE COUNTY,< 1000 ft,CHALLENGER 300,2 to 10,6,Precautionary Landing,2010-02-09,Caused damage,2,BUSINESS,Delaware,Take-off run,,False,False,POSSIBLE DMG TO STANDBY PITOT TUBE. PITOT TUBE REPLACED.,Small,No Cloud,Unknown bird - small,N,3080,0.0,0,No
300237,Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-777-200,2 to 10,10,Precautionary Landing,2010-03-10,No damage,2,CONTINENTAL AIRLINES,New Jersey,Climb,,True,True,"ID BY SMITHSONIAN, FAA 4141. DNA. PILOT STATES THAT JUST AS HE TURNED AT END OF RWY AT APPRX 300' HE SAW ABOUT 8-10 GEESE AND HIT ABOUT 6. HIT O NOSE, 2 SIDES OF COWL OF #1 ENG AND UNDERSIDE OF L WING. BLOOD FOUND ON BLADES IN #1 ENG. A/C CIRCLED TO BURN",Medium,Some Cloud,Greater scaup,Y,0,300.0,0,No
300687,Airplane,GREATER ROCHESTER INTL,> 1000 ft,A-319,2 to 10,8,Precautionary Landing,2010-03-11,Caused damage,2,US AIRWAYS,New York,Climb,,True,True,"ID BY SMITHSONIAN, FAA 4139 & 4140. DNA. CREW REPTD THEY HAD MULTIPLE HITS FROM GEESE  DURING INITIAL CLIMBOUT AND NEEDED TO RETURN. COMPRESSOR STALLS, FOLLOWED BY RECOVERY, HIGH EGT & VIBRATION REPTD ON ONE ENG. A/C LANDED SAFELY 7 MINS AFTER DEPARTURE.",Large,No Cloud,Canada goose,N,0,2000.0,0,No
300711,Airplane,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,EMB-145,2 to 10,6,Precautionary Landing,2010-03-17,Caused damage,2,EXPRESSJET (CONTINENTAL EXPRS),Minnesota,Climb,,True,True,"ID BY SMITHSONIAN, FAA 4154. WHOLE FEATHER AND DNA. HIT A CANADA GOOSE PENDING SMITHSONIAN RESULT DURING CLIMB ON LEADING EDGE OF L WING AND ENG #1. A/C RETURN TO MSP. DENT CAUSED SUBSTANTIAL DMG &  ADDITIONAL DRAG OF L WING  RESULTIN YAW MOVEMENT. LEADIN",Large,No Cloud,Tundra swan,Y,0,700.0,0,No
300949,Airplane,LUIS MUNOZ MARIN INTL -SAN JUAN,< 1000 ft,A-320,2 to 10,8,Precautionary Landing,2010-03-19,Caused damage,2,JETBLUE AIRWAYS,Puerto Rico,Climb,,False,False,DURING CLIMB AROUND 200 FT A POP WAS HEARD FOLLOWED BY A HUMMING NOISE AND VIBRATION. THREE LOWER PRESSURE FAN BLADES BENT AND DAMAGED. REPLACED BLADES.,Medium,No Cloud,Unknown bird - medium,N,20534,200.0,0,No
300463,Airplane,PORT COLUMBUS INTL,< 1000 ft,HAWKER 800,2 to 10,2,Precautionary Landing,2010-03-26,Caused damage,2,BUSINESS,Ohio,Climb,,True,True,"ID BY SMITHSONIAN, FAA 4181, DNA. PILOT REPTD BIRDSTRIKE DURING T/O. RETD TO APRT. VIBRATION /NOISE STOPPED AFTER REDUCING THRUST ON AFFECTED ENG. UPON INSPN FOUND AT LEAST 3 FAN BLADES DAMAGED. 9(DATE ENTRY NOTE: FOLLOW UP CALL FOUND THAT  BLADES WERE RE",Small,No Cloud,Eastern meadowlark,N,133472,20.0,0,No
300744,Airplane,JOHN F KENNEDY INTL,< 1000 ft,B-767-300,2 to 10,9,Precautionary Landing,2010-03-28,No damage,2,DELTA AIR LINES,New York,Climb,,True,True,"ID BY SMITHSONIAN, FAA 4194, DNA. CAPT STATED THEY STRUCK THE BIRDS SHORTLY AFTER ROTATION. THE BIRDS CAME FROM THE RT AT A 45 DEGREE ANGLE. A/C CIRCLED FROM ABOUTR 2 HRS TO BURN FUEL. (DATA ENTRY NOTE: CONTACTED AIRLINE WHO CONFIRMED THEY DUMPED FUEL FOR",Medium,Overcast,Mallard,Y,0,100.0,0,Yes
300912,Airplane,GLADEWATER MUNICIPAL ARPT,< 1000 ft,CHAMPION CITABRIA,2 to 10,3,Precautionary Landing,2010-04-06,No damage,1,BUSINESS,Texas,Approach,,False,False,NO DMG. APPROX 2 BIRDS WERE STRUCK. A/C = AMERICAN CHAMPION 7ECA,Small,Overcast,Unknown bird - small,N,0,200.0,0,No
300321,Airplane,OCONEE COUNTY REGIONAL ARPT,< 1000 ft,PA-46 MALIBU,2 to 10,9,Other,2010-04-24,Caused damage,1,PRIVATELY OWNED,South Carolina,Take-off run,,True,False,PILOT SAW 4-8 ANIMALS DURING T/O RUN. AND TRIED TO AVOID THEM BY PULLING BACK ON THE CONTROLS. THE A/C WAS IN A NOSE-HIGH ATTITUDE AND THE STALL WARNING HORN WAS SOUNDING AND THE AIRSPEED WAS DECREASING. HE REDUCED HIS BACK PRESSURE ON THE COLUMN. THE A/C,Large,No Cloud,White-tailed deer,N,262838,0.0,0,No
302202,Airplane,HECTOR INTERNATIONAL,< 1000 ft,BE-90  KING,2 to 10,8,Precautionary Landing,2010-05-03,Caused damage,2,BUSINESS,North Dakota,Approach,,False,False,"POSSIBLE GEESE. SOFT BALL SIZED DENT, 1/4-3/8 IN DEEP TO ENG EXHAUST STACK. LOCATION REPTD AS 1 MILE S OF RWY.",Large,No Cloud,Unknown bird - large,N,0,600.0,0,No
302309,Airplane,AUSTIN STRAUBEL INTL,< 1000 ft,BE-300 KING,2 to 10,6,Aborted Take-off,2010-05-06,No damage,2,BUSINESS,Wisconsin,Take-off run,,True,False,NO DMG.,Medium,Some Cloud,Ring-billed gull,Y,0,0.0,0,No
300526,Airplane,FAIRBANKS INTL ARPT,< 1000 ft,PA-31 NAVAJO,2 to 10,4,Precautionary Landing,2010-05-12,No damage,2,BUSINESS,Alaska,Climb,Rain,True,True,"ID BY SMITHSONIAN. FAA 4327. WHOLE FEATHER. NO DMG TO A/C. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.",Small,Some Cloud,Lapland longspur,Y,0,10.0,0,No
302240,Airplane,TWEED-NEW HAVEN ARPT,< 1000 ft,DHC8 DASH 8,2 to 10,10,Aborted Take-off,2010-05-19,No damage,2,PIEDMONT AIRLINES,Connecticut,Take-off run,,True,True,ID BY SMITHSONIAN. FAA 4398. WHOLE FEATHER. PILOT REPTD STRIKING BIRDS ON T/O ROLL AND ABORTED T/O. POSTSTRIKE INSPN OF A/C FOUND NO DMG.,Medium,Overcast,Herring gull,N,0,0.0,0,No
300316,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,< 1000 ft,A-319,2 to 10,7,Precautionary Landing,2010-05-24,No damage,2,SPIRIT AIRLINES,Florida,Climb,,True,True,"ID BY SMITHSONIAN, FAA 4399.DNA, HIT A FLOCK OF BIRDS AT ROTATION THAT WERE FLYING FROM THE NORTH SIDE OF RWY 9L. HIT LEFT SIDE OF A/C. UNSURE OF DMG. BURNED OFF FUEL AND RETD TO FLL. 3 CARCASSES WERE REMOVED FROM RWY. APPEAR TO BE SPARROWS. NO DMG. REMAI",Small,Some Cloud,Dunlin,Y,0,10.0,0,No
301976,Airplane,PORTLAND INTL (OR),< 1000 ft,CITATION X,2 to 10,7,Precautionary Landing,2010-05-28,Caused damage,2,BUSINESS,Oregon,Take-off run,Rain,True,False,"REPORTED STRIKING BIRDS ON T/O. PILOT REPTD A/C NO PROBLEMS. COMPANY REQUIRED JET DIVERT FROM SAN FRANISCO TO SACRAMENTS. FOUND BIRD PARTS IN PITOT TUBES,  AND BOTH ENGINES. BORESCOPE REQD. MINOR DMG (DENTS) TO LEADNG EDGE OF WINGS.",Small,Overcast,Barn swallow,Y,0,0.0,0,No
302460,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,A-320,2 to 10,9,Aborted Take-off,2010-06-01,Caused damage,2,US AIRWAYS,North Carolina,Take-off run,,False,False,ABORTED T/O AT 135 KNOTS DUE TO LEFT ENG INGESTION WHICH CAUSED ENG TO SURGE. A/C HAD TROUBLE STOPPING EVEN WITH MAX AUTOBRAKE. BORESCOPE INSPN. ALL PARAMETERS W/IN LIMITS. ENG WILL REQUIRE A ONE-TIME REINSPECT OF 5TH STAGE BOOSTER AND HPT NOZZEL AT 400 F,Small,Some Cloud,Unknown bird - small,N,0,0.0,0,No
